商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
五鼎,1733.TW,12,2015/02/03,買進,53.5,2015/05/11,賣出,53.8,60,-0.00044,最大持有 60 期
喬山,1736.TW,5,2015/02/03,買進,78.8,2015/05/11,賣出,73.7,60,-0.070328,最大持有 60 期
盟立,2464.TW,17,2015/02/03,買進,28.65,2015/05/11,賣出,28.75,60,-0.002522,最大持有 60 期
兆赫,2485.TW,2,2015/02/03,買進,31.25,2015/05/11,賣出,29.25,60,-0.069612,最大持有 60 期
華固,2548.TW,17,2015/02/03,買進,57.3,2015/05/11,賣出,71.4,60,0.238562,最大持有 60 期
神基,3005.TW,14,2015/02/03,買進,19.05,2015/05/11,賣出,18.7,60,-0.024285,最大持有 60 期
台灣大,3045.TW,21,2015/02/03,買進,104.5,2015/05/11,賣出,109.5,60,0.041569,最大持有 60 期
亞昕,5213.TW,5,2015/02/03,買進,18.3,2015/05/11,賣出,18,60,-0.022335,最大持有 60 期
同亨,5490.TW,15,2015/02/03,買進,57.8,2015/05/11,賣出,76.6,60,0.317313,最大持有 60 期
普萊德,6263.TW,16,2015/02/03,買進,47.1,2015/05/11,賣出,58,60,0.224114,最大持有 60 期
